invoice number,customer name,gross,advance,reserve,fee,chargeback,net
039,"Big G Logistics, LLC",3500.00,3395.00,52.50,52.50,0.00,3395.00
13508,NCC Logistics México,2500.00,2415.00,37.50,47.50,0.00,2415.00
13510,Impact Bulk Logistics,3000.00,2910.00,45.00,45.00,0.00,2910.00
13511,Rehmann Transportation Corp.,3600.00,3482.00,54.00,64.00,0.00,3482.00
13514,Magna Logistics Group LLC,2700.00,2619.00,40.50,40.50,0.00,2619.00
13516,Sethmar Transportation,700.00,679.00,10.50,10.50,0.00,679.00
13518,CTS EXPRESS LLC,4000.00,3870.00,60.00,70.00,0.00,3870.00
13519,Semares Forwarding Services,4900.00,4753.00,73.50,73.50,0.00,4753.00
13521,CORE LOGISTICS BROKERAGE,3500.00,3395.00,52.50,52.50,0.00,3395.00
13523,DLS Dardini Logistics Services,3600.00,3482.00,54.00,64.00,0.00,3482.00
13526,JRAYL TRANSPORT,3500.00,3385.00,52.50,62.50,0.00,3385.00
13529,DLS Dardini Logistics Services,3900.00,3783.00,58.50,58.50,0.00,3783.00
13534,Del-Can Logistics LLC,3100.00,3007.00,46.50,46.50,0.00,3007.00
13538,Jericho freight LLC,800.00,776.00,12.00,12.00,0.00,776.00
13542,SIMPLE LOGISTICS SOLUTIONS,4000.00,3880.00,60.00,60.00,0.00,3880.00
13543,PFL Logistics CO.,2500.00,2415.00,37.50,47.50,0.00,2415.00
13544,Hawkeye Transportation Services,600.00,582.00,9.00,9.00,0.00,582.00
13545,"John J. Jerue Truck Broker, Inc",4800.00,4656.00,72.00,72.00,0.00,4656.00
13546,"John J. Jerue Truck Broker, Inc",1100.00,1067.00,16.50,16.50,0.00,1067.00
13547,"John J. Jerue Truck Broker, Inc",4800.00,4656.00,72.00,72.00,0.00,4656.00
13548,"MPH CARRIER SERVICES, INC",2300.00,2221.00,34.50,44.50,0.00,2221.00
13549,R2X LLC,1000.00,970.00,15.00,15.00,0.00,970.00
13550,Semares Forwarding Services,4900.00,4753.00,73.50,73.50,0.00,4753.00
13551,Armstrong Transport GR,3000.00,2910.00,45.00,45.00,0.00,2910.00
13552,Del-Can Logistics LLC,3000.00,2910.00,45.00,45.00,0.00,2910.00
13557,DGL Freight Broker,3900.00,3783.00,58.50,58.50,0.00,3783.00
13558,"AB Global Logistics , Inc",3500.00,3385.00,52.50,62.50,0.00,3385.00
13559,SFL Companies,3800.00,3676.00,57.00,67.00,0.00,3676.00
13560,Sheer,4400.00,4268.00,66.00,66.00,0.00,4268.00
13561,Refrigerx Transportation LLC,3450.00,3346.50,51.75,51.75,0.00,3346.50
13562,PREMIUM EXPRESS,1000.00,970.00,15.00,15.00,0.00,970.00
13563,Hawkeye Transportation Services,600.00,582.00,9.00,9.00,0.00,582.00
13564,Armstrong Transport GR,3000.00,2900.00,45.00,55.00,0.00,2900.00
13565,"Hummingbird Logistix, LLC.",4000.00,3880.00,60.00,60.00,0.00,3880.00
13566,BROCK TRANSPORTATION,1100.00,1067.00,16.50,16.50,0.00,1067.00
13567,"AB Global Logistics , Inc",2100.00,2037.00,31.50,31.50,0.00,2037.00
13568,"AB Global Logistics , Inc",4000.00,3870.00,60.00,70.00,0.00,3870.00
13569,Armstrong Transport GR,3000.00,2910.00,45.00,45.00,0.00,2910.00
13570,XPR LOGISTICS LLC,6115.00,5931.54,91.73,91.73,0.00,5931.54
13571,Semares Forwarding Services,4900.00,4753.00,73.50,73.50,0.00,4753.00
13573,Armstrong Transport GR,2300.00,2231.00,34.50,34.50,0.00,2231.00
